sr,title,note,download,extension,numD,sizeTxt,sizeKB,category,remarks,no. of data rows,no. of columns,narrow or wide(pivoted)
10,List of Birth And Death rate for the year 2013.,This excel sheet contains list of birth and death rate in the city for the year 2013.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/388?filepath=%2FDocuments%2F388%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202013..xlsx,xlsx,107,2.85 mb,2918,birth death,,,,
11,List of Birth And Death rate for the year 2010,This excel sheet contains list of birth and death rate in the city for the year 2010,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/385?filepath=%2FDocuments%2F385%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202010.xlsx,xlsx,94,2.6 mb,2662,birth death,,,,
12,List of Birth And Death rate for the year 1975--84,This excel sheet contains list of birth and death rate in the city for the year 1975--84.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/382?filepath=%2FDocuments%2F382%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%201975--84.xlsx,xlsx,106,8.95 mb,9165,birth death,,,,
13,Air Pollution Statistics for March 2017 under PMC,This excel sheet contains Air pollution Statistics for March 2017 in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/379?filepath=%2FDocuments%2F379%2FAir%20Pollution%20%20Statistics%20for%20March%202017%20under%20PMC.xlsx,xlsx,172,11.43 kb,11,air pollution,,,,
14,Air pollution statistics for July 2016 under PMC.,This excel sheet contains Air pollution Statistics for July 2016 in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/376?filepath=%2FDocuments%2F376%2FAir%20pollution%20statistics%20for%20July%202016%20under%20PMC..xlsx,xlsx,82,12.46 kb,12,air pollution,,,,
15,Yearly Average of chemical oxygen demanded in the city,This excel sheet contains the Average of chemical oxygen demended in the city under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/373?filepath=%2FDocuments%2F373%2FYearly%20Average%20of%20chemical%20oxygen%20demanded%20in%20the%20city.xlsx,xlsx,107,15.37 kb,15,health,,,,
16,List of ward office under PMC,This excel sheet contains list of ward office in the City under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/370?filepath=%2FDocuments%2F370%2FList%20of%20ward%20office%20under%20PMC.xlsx,xlsx,267,12.48 kb,12,infrastructure,,,,
17,List of reptiles Species in the city,This excel sheet contains list of reptiles Species in city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/367?filepath=%2FDocuments%2F367%2FList%20of%20reptiles%20Species%20in%20the%20city.xlsx,xlsx,96,10.29 kb,10,environment,,,,
18,Count of Passengers travelling through various mode of Transport,This excel sheet contains list of pasengers travelling in the city through various mode of transport.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/364?filepath=%2FDocuments%2F364%2FCount%20of%20Passengers%20travelling%20through%20various%20mode%20of%20Transport%20.xlsx,xlsx,285,173.93 kb,174,bus,,,,
19,List of zoos under PMC,This excel sheet contains list of zoos under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/361?filepath=%2FDocuments%2F361%2FList%20of%20zoos%20under%20PMC.xlsx,xlsx,123,15.16 kb,15,infrastructure,,,,
20,List of industrial Area under PMC,This excel sheet contains list of industrial Area under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/358?filepath=%2FDocuments%2F358%2FList%20of%20industrial%20Area%20under%20PMC.xlsx,xlsx,152,8.59 kb,9,infrastructure,,,,
21,Types of Butterfly species in the City,This excel sheet contains different types of butterfly species in the city,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/355?filepath=%2FDocuments%2F355%2FTypes%20of%20Butterfly%20species%20in%20the%20City.xlsx,xlsx,110,10.3 kb,10,environment,,,,
22,Wter tax collected for the year 2018,This excel sheet contains water tax collected under PMC for the FY2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/352?filepath=%2FDocuments%2F352%2FWter%20tax%20collected%20for%20the%20year%202018.xlsx,xlsx,4401,1.96 mb,2007,water,,,,
23,Slum details under Tilak Road area for the year 2017 under PMC,This excel sheet contains information related to the slums under Tilak Road area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/349?filepath=%2FDocuments%2F349%2FSlum%20details%20under%20Tilak%20Road%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,169,32.5 kb,32,slum,,,,
24,Slum details under Bhavani peth area for the year 2017 under PMC,This excel sheet contains information related to the slums under Bhavani peth area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/346?filepath=%2FDocuments%2F346%2FSlum%20details%20under%20Bhavani%20peth%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,172,136 kb,136,slum,,,,
25,Slum details under hadapsar area for the year 2017 under PMC,This excel sheet contains information related to the slums under Hadapsar area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/343?filepath=%2FDocuments%2F343%2FSlum%20details%20under%20hadapsar%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,211,226.5 kb,226,slum,,,,
26,Slum details under Ghole road area for the year 2017 under PMC,This excel sheet contains information related to the slums under Ghole road for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/340?filepath=%2FDocuments%2F340%2FSlum%20details%20ward%20wise%20for%20the%20year%202017%20under%20PMC.xls,xls,142,62.5 kb,62,slum,,,,
27,Average noise pollution statistics for the year 2016,This excel sheet contains Average noise pollution statistics for the year 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/337?filepath=%2FDocuments%2F337%2FAverage%20noise%20pollution%20statistics%20for%20the%20year%202016.xlsx,xlsx,114,89.53 kb,90,noise pollution,,,,
28,Noise pollution statistics for february 2017.,This excel sheet contains statistics of noise pollution in the city for February 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/334?filepath=%2FDocuments%2F334%2FNoise%20pollution%20statistics%20for%20february%202017..xlsx,xlsx,104,13.7 kb,14,noise pollution,,,,
29,Noise pollution statistics for November 2016,This excel sheet contains statistics of noise pollution in the city for November 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/331?filepath=%2FDocuments%2F331%2FNoise%20pollution%20statistics%20for%20November%202016.xlsx,xlsx,86,13.77 kb,14,noise pollution,,,,
30,Noise pollution statistics for August 2016,This excel sheet contains statistics of noise pollution in the city for August 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/328?filepath=%2FDocuments%2F328%2FNoise%20pollution%20statistics%20for%20August%202016.xlsx,xlsx,88,14.07 kb,14,noise pollution,,,,
31,Noise pollution statistics for May 2016,This excel sheet contains statistics of noise pollution in the city for May 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/325?filepath=%2FDocuments%2F325%2F%20Noise%20pollution%20statistics%20for%20May%202016.xlsx,xlsx,70,14.66 kb,15,noise pollution,,,,
32,water pollution statistics for March 2017,his excel sheet contains water pollution statistics for March 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/322?filepath=%2FDocuments%2F322%2Fwater%20pollution%20statistics%20for%20March%202017.xlsx,xlsx,111,21.72 kb,22,water pollution,,,,
33,water pollution statistics for December 2016,This excel sheet contains water pollution statistics for December 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/319?filepath=%2FDocuments%2F319%2Fwater%20pollution%20statistics%20for%20December%202016.xlsx,xlsx,65,21.67 kb,22,water pollution,,,,
34,water pollution statistics for September 2016,This excel sheet contains water pollution statistics for September 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/316?filepath=%2FDocuments%2F316%2Fwater%20pollution%20statistics%20for%20September%202016.xlsx,xlsx,68,21.73 kb,22,water pollution,,,,
35,water pollution statistics for June 2016,This excel sheet contains water pollution statistics for June 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/313?filepath=%2FDocuments%2F313%2Fwater%20pollution%20statistics%20for%20June%202016.xlsx,xlsx,68,21.85 kb,22,water pollution,,,,
36,water pollution statistics for March 2016,This excel sheet contains water pollution statistics for march 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/310?filepath=%2FDocuments%2F310%2Fwater%20pollution%20statistics%20for%20March%202016.xlsx,xlsx,75,20.99 kb,21,water pollution,,,,
37,graphical presentation of Dissolve oxygen level of water in the city for 2016--2018,This excelsheet contains dissolved oxygen demand level of water in city for the year 2012--2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/307?filepath=%2FDocuments%2F307%2Fgraphical%20presentation%20of%20Dissolve%20oxygen%20level%20of%20water%20in%20the%20city%20for%202016--2018.xlsx,xlsx,89,292.3 kb,292,water pollution,,,,
38,Air pollution statistics for February 2017,This excel sheet contains air pollution statistics for february 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/304?filepath=%2FDocuments%2F304%2FAir%20pollution%20statistics%20for%20February%202017.xlsx,xlsx,91,12.46 kb,12,air pollution,,,,
39,Air pollution statistics for November 2016,This excel sheet contains air pollution statistics for November 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/301?filepath=%2FDocuments%2F301%2FAir%20pollution%20statistics%20for%20November%202016.xlsx,xlsx,68,12.78 kb,13,air pollution,,,,
40,Air pollution statistics for August 2016,This excel sheet contains air pollution statistics for August 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/298?filepath=%2FDocuments%2F298%2FAir%20pollution%20statistics%20for%20August%202016.xlsx,xlsx,66,12.61 kb,13,air pollution,,,,
41,Air pollution statistics for May 2016,This excel sheet contains air pollution statistics for may 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/295?filepath=%2FDocuments%2F295%2FAir%20pollution%20statistics%20for%20May%202016.xlsx,xlsx,59,12.53 kb,13,air pollution,,,,
42,Average Air pollution statistics for the year 22017,This excel sheet contains average air pollution statistics for the year 2017 under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/292?filepath=%2FDocuments%2F292%2FAverage%20Air%20pollution%20statistics%20for%20the%20year%2022017%20.xlsx,xlsx,95,83.44 kb,83,air pollution,,,,
43,Total quantity of waste collected for October 2017 under PMC,This excel sheet contains total quantity of waste collected for October 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/289?filepath=%2FDocuments%2F289%2FTotal%20quantity%20of%20waste%20collected%20for%20October%202017%20under%20PMC.xlsx,xlsx,93,13.52 kb,14,waste management,,,,
44,Total quantity of waste collected for July 2017 under PMC,This excel sheet contains total quantity of waste collected for July 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/286?filepath=%2FDocuments%2F286%2FTotal%20quantity%20of%20waste%20collected%20for%20July%202017%20under%20PMC.xlsx,xlsx,78,13.63 kb,14,waste management,,,,
45,Total quantity of waste collected for April 2017 under PMC,This excel sheet contains total quantity of waste collected for April 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/283?filepath=%2FDocuments%2F283%2FTotal%20quantity%20of%20waste%20collected%20for%20April%202017%20under%20PMC.xlsx,xlsx,86,12.44 kb,12,waste management,,,,
46,Total quantity of waste collected for January 2017 under PMC,This excel sheet contains total quantity of waste collected for January 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/280?filepath=%2FDocuments%2F280%2FTotal%20quantity%20of%20waste%20collected%20for%20January%202017%20under%20PMC.xlsx,xlsx,76,12.04 kb,12,waste management,,,,
47,List of total OPD & IPD,This excel sheet contains total number of OPD & IPD under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/277?filepath=%2FDocuments%2F277%2FList%20of%20total%20OPD%20%26%20IPD.xls,xls,146,27.5 kb,28,health,,,,
48,Total number of fire station in the city,This excelsheet contains the total number of fire stations under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/274?filepath=%2FDocuments%2F274%2FTotal%20number%20of%20fire%20station%20in%20the%20city.xlsx,xlsx,113,10.53 kb,11,infrastructure,,,,
49,Total number of CNG stations under PMC,This excelsheet contains list of total number of CNG stations under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/271?filepath=%2FDocuments%2F271%2FTotal%20number%20of%20CNG%20stations%20under%20PMC.xlsx,xlsx,142,58.57 kb,59,transport,,,,
50,Total number of residental connection areawise for the year 2016,This excel sheet contains total number of residential connection for the year 2016 under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/268?filepath=%2FDocuments%2F268%2FTotal%20number%20of%20residental%20connection%20areawise%20for%20the%20year%202016.xlsx,xlsx,146,12.36 kb,12,electricity,,,,
51,Total number of hospital beds under PMC for the year 2017,This excel sheet contains total number of hospitals beds under PMC for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/265?filepath=%2FDocuments%2F265%2FTotal%20number%20of%20hospital%20beds%20under%20PMC%20for%20the%20year%202017.xls,xls,149,28 kb,28,health,,,,
52,Detected cases and deaths due to diseases for the year 2018,This excel sheet contains detected cases and deaths due to diseases for the year 2018 under pmc.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/262?filepath=%2FDocuments%2F262%2FDetected%20cases%20and%20deaths%20due%20to%20diseases%20for%20the%20year%202018.xlsx,xlsx,123,47.16 kb,47,health,,,,
53,Detected cases and deaths due to diseases for the year 2015.,This excel sheet contains detected cases and deaths due to diseases for the year 2015 under pmc.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/259?filepath=%2FDocuments%2F259%2FDetected%20cases%20and%20deaths%20due%20to%20diseases%20for%20the%20year%202015..xlsx,xlsx,94,27.63 kb,28,health,,,,
54,Pune temperature and rainfall trend for the year 2016,This excel sheet contains temperature and rainfall trend in the Pune for the year 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/256?filepath=%2FDocuments%2F256%2FPune%20temperature%20and%20rainfall%20trend%20for%20the%20year%202016.xlsx,xlsx,112,239.77 kb,240,weather,,,,
55,Concentration of ozone in the city for FY 2017,This excel sheet contains monthly concentration of Ozone in the city for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/253?filepath=%2FDocuments%2F253%2FConcentration%20of%20ozone%20in%20the%20city%20for%20the%20year%202017.xlsx,xlsx,77,241.07 kb,241,air pollution,,,,
56,Concentration of Carbon Monoxide in the city for the FY 2017,This excel sheet contains the monthly concentration of carbon monoxide in the city for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/250?filepath=%2FDocuments%2F250%2FConcentration%20of%20Carbon%20Monoxide%20in%20the%20city%20for%20the%20year%202017.xlsx,xlsx,83,240.77 kb,241,air pollution,,,,
57,Total Number of Biomedical waste collected for the year 2017,This excel sheet contains total number of biomedical waste collected for the year 2017 under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/247?filepath=%2FDocuments%2F247%2FTotal%20Number%20of%20Biomedical%20waste%20collected%20for%20the%20year%202017.xlsx,xlsx,92,101.63 kb,102,waste management,,,,
58,Sewage Treatment plant Data under PMC,This excel sheet contain total number of STP plants available under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/244?filepath=%2FDocuments%2F244%2FSewage%20Treatment%20plant%20Data%20under%20PMC.xlsx,xlsx,121,11 kb,11,treatment,,,,
59,School Enrollment details,This excel sheet contains the data of total number of students in schools which comes under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/240?filepath=%2FDocuments%2F240%2FSchool%20Enrollment%20details.xlsx,xlsx,479,400.02 kb,400,education,,,,
60,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF SEPTEMBER 2017,This excel sheet contains depotwise report of BRT for the month of September 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/237?filepath=%2FDocuments%2F237%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20SEPTEMBER%202017.xls,xls,91,37 kb,37,bus,,,,
61,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF JUNE 2017,This excel sheet contains depotwise report of BRT for the month of June 2017,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/234?filepath=%2FDocuments%2F234%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20JUNE%202017.xlsx,xlsx,82,15.91 kb,16,bus,,,,
62,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF DECEMBER 2017,This excel sheet contains depotwise report of PMPML for the month of Dcember 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/231?filepath=%2FDocuments%2F231%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20DECEMBER%202017.xls,xls,135,77 kb,77,bus,,,,
63,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF SEPTEMBER 2017,This excel sheet contains depotwise report of PMPML for the month of September 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/228?filepath=%2FDocuments%2F228%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20SEPTEMBER%202017.xlsx,xlsx,83,34.07 kb,34,bus,,,,
64,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF JUNE 2017,This excel sheet contains depotwise report of PMPML for the month of June 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/225?filepath=%2FDocuments%2F225%2F%20%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20%20JUNE%202017.xlsx,xlsx,70,34.16 kb,34,bus,,,,
65,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF MARCH 2017,This excel sheet contains depotwise report of PMPML for the month of March 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/222?filepath=%2FDocuments%2F222%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20MARCH%202017.xls,xls,81,86.5 kb,86,bus,,,,
66,Ward wise Property Tax collection for the year 2016--17,This excel sheet contains the analysis as well as ward wise property tax collection for the financial year 2016--17.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/218?filepath=%2FDocuments%2F218%2FWard%20wise%20Property%20Tax%20collection%20for%20the%20year%202016--17.xlsx,xlsx,128,28.01 kb,28,property tax,,,,
67,Water Consumption by the citizens for the month of December 2016,The Excel sheet contains water consumption by the citizens of Pune for the month of December 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/215?filepath=%2FDocuments%2F215%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20December%202016.xlsx,xlsx,123,10.2 kb,10,water,,,,
68,Water Consumption by the citizens for the month of November 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of November 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/212?filepath=%2FDocuments%2F212%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20November%202017.xlsx,xlsx,109,10.33 kb,10,water,,,,
69,Water Consumption by the citizens for the month of July 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of July 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/209?filepath=%2FDocuments%2F209%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20July%202017.xlsx,xlsx,95,11.21 kb,11,water,,,,
70,Water Consumption by the citizens for the month of April 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of April 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/206?filepath=%2FDocuments%2F206%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20April%202017.xlsx,xlsx,96,11.3 kb,11,water,,,,
71,Water Consumption by the citizen for the month of january 2017,The excel sheet contains water consumption by citizens of pune for the month of January 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/203?filepath=%2FDocuments%2F203%2FWater%20Consumption%20by%20the%20citizen%20for%20the%20month%20of%20january%202017.xlsx,xlsx,92,11.6 kb,12,water,,,,
72,Restaurants,Restaurants GIS Details in PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/200?filepath=%2FDocuments%2F200%2FRestaurants.xlsx,xlsx,264,20.93 kb,21,infrastructure,,,,
73,Medical Stores,Medical Stores GIS Points,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/197?filepath=%2FDocuments%2F197%2FMedical%20Stores.xlsx,xlsx,201,20.39 kb,20,infrastructure,,,,
74,Hotel,Hotel Details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/194?filepath=%2FDocuments%2F194%2FHotel.xlsx,xlsx,247,20.71 kb,21,infrastructure,,,,
75,Petrol Pumps,Petrol Pumps in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/191?filepath=%2FDocuments%2F191%2FPetrol%20Pumps.xlsx,xlsx,284,14.82 kb,15,infrastructure,,,,
76,Monuments,Monuments in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/188?filepath=%2FDocuments%2F188%2FMonuments.xlsx,xlsx,158,9.41 kb,9,infrastructure,,,,
77,Pet Clinics,Pet Clinics in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/185?filepath=%2FDocuments%2F185%2FPet%20Clinics.xlsx,xlsx,356,13.52 kb,14,infrastructure,,,,
78,Clinics,Clinics Details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/182?filepath=%2FDocuments%2F182%2FClinics.xlsx,xlsx,370,22.32 kb,22,infrastructure,,,,
79,Garden,Garden details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/179?filepath=%2FDocuments%2F179%2FGarden.xlsx,xlsx,210,16.25 kb,16,infrastructure,,,,
80,GIS--College Details in Pune,GIS details of Colleges in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/176?filepath=%2FDocuments%2F176%2FGIS--College%20Details%20in%20Pune.xlsx,xlsx,266,15.8 kb,16,infrastructure,,,,
81,List of Hawkers/ Vendors in Yerwada,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Aundh ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/170?filepath=%2FDocuments%2F170%2FList%20of%20Hawkers--%20Vendors%20in%20Yerwada.pdf,pdf,349,2.7 mb,2765,hawker--vendor,,,,
82,List of Hawkers/ Vendors in Tilak Road,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Aundh ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/167?filepath=%2FDocuments%2F167%2FList%20of%20Hawkers--%20Vendors%20in%20Tilak%20Road.pdf,pdf,260,2.59 mb,2652,hawker--vendor,,,,
83,List of Hawkers/ Vendors in Nagar Road,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Aundh ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/164?filepath=%2FDocuments%2F164%2FList%20of%20Hawkers--%20Vendors%20in%20Nagar%20Road.pdf,pdf,217,2.18 mb,2232,hawker--vendor,,,,
84,Kondhwa Budruk_Yewlenagar,"Kondhwa Budruk,Yewlenagar Ward 41 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/161?filepath=%2FDocuments%2F161%2FKondhwa%20Budruk_Yewlenagar.pdf,pdf,162,137.07 kb,137,elections,,,,
85,Navi Peth_Parvati_Ward 29,"Navi Peth,Parvati Ward 29 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/158?filepath=%2FDocuments%2F158%2FNavi%20Peth_Parvati_Ward%2029.pdf,pdf,151,184.25 kb,184,elections,,,,
86,Mohmmadwadi_KausarBagh_Ward 26,"Mohmmadwadi , Kausar Bagh ward 26 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/155?filepath=%2FDocuments%2F155%2FMohmmadwadi_KausarBagh_Ward%2026.pdf,pdf,131,130.44 kb,130,elections,,,,
87,Hadapsar Gaothan_Satavwadi_ward 23,"Hadapasar Gaothan , Satavwadi Ward 23 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/152?filepath=%2FDocuments%2F152%2FHadapsar%20Gaothan_Satavwadi_ward%2023.pdf,pdf,154,132.1 kb,132,elections,,,,
88,Tadiwala Road_Sasoon Hospital_Ward 20,"Tadiwala Road , Sasoon Hospital ward 20 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/149?filepath=%2FDocuments%2F149%2FTadiwala%20Road_Sasoon%20Hospital_Ward%2020.pdf,pdf,142,144.67 kb,145,elections,,,,
